date,start_time,total_duration,laps,fastest,slowest,average
2025-09-09,16:38:46,0 days 00:00:10.099938,3,0 days 00:00:01.753953,0 days 00:00:05.008780,0 days 00:00:03.366646
2025-09-09,16:39:06,0 days 00:00:20.525889,3,0 days 00:00:04.961090,0 days 00:00:08.611261,0 days 00:00:06.841963
2025-09-09,16:39:36,0 days 00:00:05.793985,2,0 days 00:00:02.049935,0 days 00:00:03.744050,0 days 00:00:02.896992
2025-09-09,16:44:52,0:00:15.811959,2,0 days 00:00:05.959112,0 days 00:00:09.852847,0 days 00:00:07.905980
